site_id,site_name,site_type,caz_zone,latitude,longitude,data_source,start_date,end_date
BCA2,St Chads Queensway,ROADSIDE,INSIDE,52.486101,-1.986791,BCC,2018-07-26,
BCA1,Colmore Row,ROADSIDE,INSIDE,52.481789,-1.898739,BCC,2018-03-08,
BCA3,Lower Severn Street,ROADSIDE,INSIDE,52.476824,-1.902129,BCC,2018-06-29,
UKA00655,Ladywood,BACKGROUND,INSIDE,52.481346,-1.918235,DEFRA,2020-01-01,
UKA00626,A4540 Roadside,ROADSIDE,BOUNDARY,52.476145,-1.874978,DEFRA,2016-09-09,
BCA5,Selly Oak,ROADSIDE,OUTSIDE,52.44,-1.94,BCC,2006-11-21,2025-07-10
BCA6,Stratford Road,ROADSIDE,OUTSIDE,52.459227,-1.871616,BCC,2005-01-31,
BCA4,New Hall,BACKGROUND,OUTSIDE,52.568194,-1.786267,BCC,2006-11-21,
