site_id,site_name,site_type,caz_zone,latitude,longitude,data_source,start_date,end_date
BCA2,St Chads Queensway,ROADSIDE,INSIDE,52.486101,-1.986791,BCC,26/07/2018,
BCA1,Colmore Row,ROADSIDE,INSIDE,52.481789,-1.898739,BCC,08/03/2018,
BCA3,Lower Severn Street,ROADSIDE,INSIDE,52.476824,-1.902129,BCC,29/06/2018,
UKA00655,Ladywood,BACKGROUND,INSIDE,52.481346,-1.918235,DEFRA,01/01/2020,
UKA00626,A4540 Roadside,ROADSIDE,BOUNDARY,52.476145,-1.874978,DEFRA,09/09/2016,
BCA5,Selly Oak,ROADSIDE,OUTSIDE,52.44,-1.94,BCC,21/11/2006,10/07/2025
BCA6,Stratford Road,ROADSIDE,OUTSIDE,52.459227,-1.871616,BCC,31/01/2005,
UKA00559,Acocks Green,BACKGROUND,OUTSIDE,52.437165,-1.829999,DEFRA,18/03/2011,01/10/2021
BCA4,New Hall,BACKGROUND,OUTSIDE,52.568194,-1.786267,BCC,21/11/2006,
